record_id,schema_version,data_version,revision,manufacturer,model,dc_max_voltage_v,startup_voltage_v,mppt_min_voltage_v,mppt_max_voltage_v,max_input_current_per_mppt_a,max_short_circuit_current_per_mppt_a,inputs_per_mppt,ac_power_kw,ac_apparent_power_kva,nominal_voltage_v,phases,pf_min,pf_max,nominal_ac_current_a,max_ac_current_a,recommended_max_dc_kwp,dc_ac_ratio,mppt_count,max_dc_input_current_a,ac_connection,input_current_basis,ambient_reference_c,derating_profile,verification_status,source_id,effective_from,effective_to,notes
INV-SUNGROW-SG36CX-P2,1.0.0,2026.08-draft,2,Sungrow,SG36CX-P2,1100,200,160,1000,30,40,2,36,40,400,THREE_PHASE,0.8,1,52.17,60.2,50.4,1.40,4,120,3-N-PE,4 x 30 A maximum PV input,40,,MANUFACTURER_DATA,SRC-INV-001|SRC-MFR-001,,,Sungrow datasheet V4; rated AC voltage also supports 380 V
INV-SUNGROW-SG40CX-P2,1.0.0,2026.08-draft,2,Sungrow,SG40CX-P2,1100,200,160,1000,30,40,2,40,44,400,THREE_PHASE,0.8,1,58,66.9,56.0,1.40,4,120,3-N-PE,4 x 30 A maximum PV input,40,,MANUFACTURER_DATA,SRC-INV-001|SRC-MFR-001,,,Sungrow datasheet V4; rated AC voltage also supports 380 V
INV-SUNGROW-SG50CX-P2,1.0.0,2026.08-draft,2,Sungrow,SG50CX-P2,1100,200,160,1000,30,40,2,50,55,400,THREE_PHASE,0.8,1,72.5,83.6,70.0,1.40,4,120,3-N-PE,4 x 30 A maximum PV input,40,,MANUFACTURER_DATA,SRC-INV-001|SRC-MFR-001,,,Sungrow datasheet V4; rated AC voltage also supports 380 V
INV-SUNGROW-SG125CX-P2,1.0.0,2026.08-draft,2,Sungrow,SG125CX-P2,1100,200,180,1000,30,40,2,125,125,400,THREE_PHASE,0.8,1,181.1,181.1,175.0,1.40,12,360,3-N-PE,12 x 30 A maximum PV input,50,,MANUFACTURER_DATA,SRC-INV-001|SRC-MFR-001,,,Sungrow datasheet V14; 125 kVA at 415 V and 50 C
INV-SUNGROW-SG150CX,1.0.0,2026.08-draft,2,Sungrow,SG150CX,1100,200,180,1000,48,66,3,150,165,400,THREE_PHASE,0.8,1,216.5,240.6,210.0,1.40,7,336,3-N-PE,7 x 48 A maximum PV input,,,MANUFACTURER_DATA,SRC-INV-001|SRC-MFR-001,,,Sungrow datasheet V7; max AC current is 240.6 A at 400 or 415 V
INV-SUNGROW-SG350HX-20,1.0.0,2026.08-draft,2,Sungrow,SG350HX-20,1500,550,500,1500,75,125,5,320,352,800,THREE_PHASE,0.8,1,231,254,,,6,450,3-PE,6 x 75 A maximum PV input,40,352 kVA at 30 C; 320 kVA at 40 C; 295 kVA at 50 C,MANUFACTURER_DATA,SRC-INV-001|SRC-MFR-001,,,Rated condition is 320 kW at 40 C and 800 V; no recommended DC kWp or ratio inferred
