record_id,schema_version,data_version,revision,table_id,cable_family,conductor_material,insulation,conductor_temp_c,installation_group,installation_method,cores,current_carrying_conductors,csa_mm2,ampacity_a,reference_ambient_c,applicability,verification_status,source_id,effective_from,effective_to,notes
AMP-T520-G2-1C-35,1.0.0,2026.08-draft,1,TABLE-5-20,PVC70,CU,PVC,70,GROUP_2,UNSPECIFIED,1,3,35,96,40,Single-core Group 2 with three current-carrying conductors,DRAFT,SRC-AMP-004,,,Selected row only; table edition unapproved
AMP-T520-G2-1C-50,1.0.0,2026.08-draft,1,TABLE-5-20,PVC70,CU,PVC,70,GROUP_2,UNSPECIFIED,1,3,50,117,40,Single-core Group 2 with three current-carrying conductors,DRAFT,SRC-AMP-004,,,Selected row only; table edition unapproved
AMP-T527-G2-1C-25,1.0.0,2026.08-draft,1,TABLE-5-27,CV_XLPE90,CU,XLPE,90,GROUP_2,UNSPECIFIED,1,3,25,106,40,Single-core Group 2 with three current-carrying conductors,DRAFT,SRC-AMP-003|SRC-AMP-004,,,Worked-example row; table edition unapproved
AMP-T527-G2-1C-35,1.0.0,2026.08-draft,1,TABLE-5-27,CV_XLPE90,CU,XLPE,90,GROUP_2,UNSPECIFIED,1,3,35,131,40,Single-core Group 2 with three current-carrying conductors,DRAFT,SRC-AMP-003|SRC-AMP-004,,,Worked-example row; table edition unapproved
AMP-T529-G5-35-2CC,1.0.0,2026.08-draft,1,TABLE-5-29,CV_XLPE90,CU,XLPE,90,GROUP_5,BURIED_CONDUIT_OR_DIRECT,1,2,35,150,30,Group 5 with two current-carrying conductors,DRAFT,SRC-WIR-005,,,Selected table row only
AMP-T529-G5-35-3CC,1.0.0,2026.08-draft,1,TABLE-5-29,CV_XLPE90,CU,XLPE,90,GROUP_5,BURIED_CONDUIT_OR_DIRECT,1,3,35,132,30,Group 5 with three current-carrying conductors,DRAFT,SRC-WIR-005,,,Selected table row only
AMP-T529-G6-35-LE3,1.0.0,2026.08-draft,1,TABLE-5-29,CV_XLPE90,CU,XLPE,90,GROUP_6,BURIED_CONDUIT_OR_DIRECT,1,3,35,184,30,Group 6 with not more than three current-carrying conductors,DRAFT,SRC-WIR-005,,,Selected table row only
